,Company Name,Director Name,Company Address,Factory Address,Phone Number,Fax Number,Email Address,Website,Products
0, 3MS Tex (BD) [ Membership: 1161 ]   Member Status : Cancel ," Mr. Md. Enayetul Karim Al-Mamun,  Proprietor","Company Address : Karamtola, Harbaid, Gazipur Sadar, Gazipur. ","Factory Address : Karamtola, Harbaid, Gazipur Sadar, Gazipur. ","Phone : 01715-537847, 01975-537847 ",Fax : ,Email : menayet@yahoo.com ,Website :  ,"Products : Yarn Coaning, Master Carton, Inner Carton, Metal Zipper, Elastic, Gum Tape "
1, A & A Accessories Ltd. [ Membership: 189 ]   Member Status : Cancel ," Mr. Sanwar Ahmed,  Managing Director","Company Address : 138/1, J.N.Saha Road, Lalbag, Dhaka ","Factory Address : 138/1, J.N.Saha Road, Lalbag, Dhaka ",Phone : 8618622 ,Fax : 8629427 ,Email : aaal@dhakacom.com ,Website :  ,Products : Printed Poly Bag 
2, A. A. Accessories Ltd. [ Membership: 1124 ]   Member Status : Cancel ," Mr. Md. Sarwar Alamgir,  Managing Director",Company Address : ,Factory Address : ,Phone : 031-2518092 ,Fax : 031-2518095 ,Email : halda_acc@yahoo.com ,Website :  ,"Products : Printed Poly Bag, BOPP Bag, Hanger, Elastic/Non Elastic Band, Back Board, Neck Board, Collar Bone, Barcode, Hang Tag, Size Tag, Price Tag, Tissue Paper etc. "
3, ABS Carton & Accessories Industries Ltd. [ Membership: 369 ]   Member Status : Active ," Mr. Mohamad Belal,  Managing Director","Company Address : South Pahartali, Fatehabad, Hathazari, Chattogram ","Factory Address : South Pahartali, Fatehabad, Hathazari, Chattogram ",Phone : 031-2552048 ,Fax : ,"Email : mbtrade@dhaka.net, harbiscon@yahoo.com ",Website :  ,"Products : Corrugated Carton, Back Board, Neck Board,  Hang Tag, Paper Band, Sticker, Barcode, Photocard, Elastic & Non Elastic Band. "
4, A. G. Packaging Industries Ltd. [ Membership: 285 ]   Member Status : Active ," Mir Mozzammel Hossain,  Managing Director","Company Address : Barimojlis, Sonargaon Narayangonj. ","Factory Address : Barimojlis, Sonargaon Narayangonj. ","Phone : 9555226 Cell: 01713024294, 0919024294 ",Fax : ,Email : agpack2012@gmail.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper. "
5, A. H. Packaging & Accessories Ltd. [ Membership: 624 ]   Member Status : Active ," Alhaz Md. Anowar Hossain,  Director","Company Address : 865/1, Dakkhin Khailkur, National University, Board Bazar, Gazipur ","Factory Address : 865/1, Dakkhin Khailkur, National University, Board Bazar, Gazipur ",Phone : 9810487 ,Fax : 9804550 ,Email : ahpackaging@fancybd.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Collar Inser, Butterfly. "
6, A. K. Accessories (PVT.) Ltd. [ Membership: 1049 ]   Member Status : Cancel ," Mr. Nurul Amin,  Managing Director",Company Address : ,Factory Address : ,Phone : 9889571 ,Fax : 9884058 ,Email : amin@akaccessoriesbd.com ,Website :  ,"Products : Button, PP Bag, Label, Yarn, Gum Tape. "
7, A. K. Packaging Ltd. [ Membership: 262 ]   Member Status : Cancel ," Mr. ABM Fazlul Karim,  Managing Director","Company Address : C.S. Plot # 95 (Part), Vill: Mogarkhal, Vogra, Bashan, Joydebpur, Gazipur ","Factory Address : C.S. Plot # 95 (Part), Vill: Mogarkhal, Vogra, Bashan, Joydebpur, Gazipur ","Phone : 8825659, 8825691 ",Fax : 8826113 ,Email : ,Website :  ,Products : Corrugated Carton 
8, A. K. Thread Co. (Pvt.) Ltd. [ Membership: 316 ]   Member Status : Active ," Mr. Nurul Amin,  Managing Director","Company Address : 165, Zingira, Savar, Dhaka ","Factory Address : 165, Zingira, Savar, Dhaka ",Phone : 9889571 ,Fax : 9884058 ,Email : aklabel@gnbd.net ,Website :  ,"Products : Woven label, Sewing Thread, Printed label. "
9, A. M. Flexo Poly Print [ Membership: 556 ]   Member Status : Cancel ," Mr. S. M. Rahman (Moin),  Proprietor",Company Address : ,Factory Address : ,Phone : 9012425 ,Fax : ,Email : ,Website :  ,Products : Printed Poly Bag. 
